#obj_file src_file links_in links_out loc_changes
./drivers/audio/es1370/ak4531.o drivers/audio/es1370/ak4531.c 3 4 179
./commands/elvis/recycle.o commands/elvis/recycle.c 2 6 183
./servers/iso9660fs/super.o servers/iso9660fs/super.c 6 9 126
./commands/m4/expr.o commands/m4/expr.c 20 5 587
./commands/pkg_install/lib/conflicts.o commands/pkg_install/lib/conflicts.c 1 12 170
./servers/rs/exec.o servers/rs/exec.c 1 12 923
./servers/vfs/device.o servers/vfs/device.c 19 34 3778
./drivers/dpeth/netbuff.o drivers/dpeth/netbuff.c 5 5 220
./commands/less/less/edit.o commands/less/less/edit.c 19 65 795
./commands/elvis/ex.o commands/elvis/ex.c 6 61 722
./commands/autil/rd.o commands/autil/rd.c 12 4 520
./commands/pkg_install/create/pl.o commands/pkg_install/create/pl.c 1 28 217
./commands/elvis/blk.o commands/elvis/blk.c 11 17 469
./commands/uniq/uniq.o commands/uniq/uniq.c 18 15 398
./servers/mfs/super.o servers/mfs/super.c 5 13 675
./commands/dhrystone/dhrystone.o commands/dhrystone/dhrystone.c 25 10 585
./commands/find/misc.o commands/find/misc.c 3 12 158
./commands/crc/crc.o commands/crc/crc.c 3 12 117
./commands/less/less/signal.o commands/less/less/signal.c 4 21 281
./servers/pm/getset.o servers/pm/getset.c 2 9 441
./drivers/rtl8139/rtl8139.o drivers/rtl8139/rtl8139.c 2 47 5818
./commands/tcpd/tcpd.o commands/tcpd/tcpd.c 1 32 311
./commands/ash/histedit.o commands/ash/histedit.c 3 1 533
./commands/ttt/ttt.o commands/ttt/ttt.c 7 4 299
./commands/aal/wr_arhdr.o commands/aal/wr_arhdr.c 1 1 64
./commands/pkg_install/lib/global.o commands/pkg_install/lib/global.c 3 0 42
./commands/autil/rd_arhdr.o commands/autil/rd_arhdr.c 1 2 68
./servers/rs/manager.o servers/rs/manager.c 44 60 8406
./commands/make/make.o commands/make/make.c 9 56 2950
./servers/vfs/stadir.o servers/vfs/stadir.c 9 17 899
./commands/ci/ci.o commands/ci/ci.c 26 38 343
./servers/pfs/main.o servers/pfs/main.c 2 24 354
./commands/sum/sum.o commands/sum/sum.c 6 5 121
./commands/uname/uname.o commands/uname/uname.c 4 7 140
./commands/add_route/add_route.o commands/add_route/add_route.c 1 24 370
./drivers/tty/rs232.o drivers/tty/rs232.c 2 16 1640
./drivers/audio/es1371/AC97.o drivers/audio/es1371/AC97.c 3 7 540
./commands/de/de_stdin.o commands/de/de_stdin.c 8 16 302
./commands/pkg_install/lib/fexec.o commands/pkg_install/lib/fexec.c 4 11 171
./commands/indent/args.o commands/indent/args.c 7 49 287
./commands/pkg_install/lib/str.o commands/pkg_install/lib/str.c 4 4 106
./commands/mdocml/man_term.o commands/mdocml/man_term.c 1 22 964
./servers/rs/table.o servers/rs/table.c 11 0 331
./commands/talkd/net.o commands/talkd/net.c 3 14 188
./commands/asmconv/parse_gnu.o commands/asmconv/parse_gnu.c 2 22 879
./servers/ext2/open.o servers/ext2/open.c 5 21 369
./commands/find/find.o commands/find/find.c 5 27 1224
./drivers/bios_wini/bios_wini.o drivers/bios_wini/bios_wini.c 1 35 1102
./servers/hgfs/dentry.o servers/hgfs/dentry.c 4 8 194
./commands/ash/cd.o commands/ash/cd.c 4 37 794
./servers/ext2/balloc.o servers/ext2/balloc.c 3 11 354
./servers/rs/main.o servers/rs/main.c 1 67 2282
./commands/bzip2/bzip2.o commands/bzip2/bzip2.c 26 54 2111
./servers/hgfs/handle.o servers/hgfs/handle.c 2 7 80
./commands/backup/backup.o commands/backup/backup.c 28 35 591
./commands/less/less/line.o commands/less/less/line.c 19 50 1207
./commands/less/less/optfunc.o commands/less/less/optfunc.c 16 53 602
./commands/mount/mount.o commands/mount/mount.c 3 17 203
./commands/tr/str.o commands/tr/str.c 1 26 335
./commands/cawf/store.o commands/cawf/store.c 101 0 184
./commands/dhcpd/devices.o commands/dhcpd/devices.c 9 26 364
./drivers/orinoco/orinoco.o drivers/orinoco/orinoco.c 3 64 3784
./servers/pm/time.o servers/pm/time.c 3 9 182
./kernel/exception.o kernel/exception.c 9 27 336
./commands/less/less/charset.o commands/less/less/charset.c 17 10 1042
./commands/elle/sbm.o commands/elle/sbm.c 26 3 1850
./servers/vfs/read.o servers/vfs/read.c 4 21 1334
./servers/hgfs/write.o servers/hgfs/write.c 2 20 166
./commands/gas2ack/emit_ack.o commands/gas2ack/emit_ack.c 4 16 1534
./commands/fortune/fortune.o commands/fortune/fortune.c 2 13 75
./commands/recwave/recwave.o commands/recwave/recwave.c 19 20 242
./commands/du/du.o commands/du/du.c 14 22 526
./servers/pm/alarm.o servers/pm/alarm.c 4 16 417
./commands/m4/misc.o commands/m4/misc.c 11 18 292
./servers/vfs/open.o servers/vfs/open.c 9 50 3234
./commands/lex/sym.o commands/lex/sym.c 13 18 256
./commands/cawf/macsup.o commands/cawf/macsup.c 5 13 181
./kernel/proc.o kernel/proc.c 16 35 7771
./servers/vfs/select.o servers/vfs/select.c 9 22 3481
./servers/pm/profile.o servers/pm/profile.c 7 6 123
./servers/iso9660fs/stadir.o servers/iso9660fs/stadir.c 6 6 192
./servers/vfs/utility.o servers/vfs/utility.c 5 13 398
./commands/cal/cal.o commands/cal/cal.c 15 9 315
./commands/passwd/passwd.o commands/passwd/passwd.c 13 35 260
./commands/swifi/extra.o commands/swifi/extra.c 21 10 282
./commands/diff/xmalloc.o commands/diff/xmalloc.c 5 7 109
./commands/co/co.o commands/co/co.c 21 29 252
./commands/m4/eval.o commands/m4/eval.c 1 42 331
./drivers/dec21140A/dec21140A.o drivers/dec21140A/dec21140A.c 1 39 1509
./drivers/rtl8169/rtl8169.o drivers/rtl8169/rtl8169.c 3 47 3032
./commands/awk/lib.o commands/awk/lib.c 42 72 699
./commands/patch/mkpath.o commands/patch/mkpath.c 1 8 85
./servers/sched/schedule.o servers/sched/schedule.c 5 12 434
./commands/swifi/db_sym.o commands/swifi/db_sym.c 3 5 650
./servers/mfs/path.o servers/mfs/path.c 5 31 2989
./servers/vm/alloc.o servers/vm/alloc.c 13 20 1830
./commands/partition/partition.o commands/partition/partition.c 27 21 437
./commands/less/less/ch.o commands/less/less/ch.c 18 22 845
./servers/vfs/pipe.o servers/vfs/pipe.c 12 29 1537
./commands/grep/queue.o commands/grep/queue.c 4 5 122
./commands/rlogin/rlogin.o commands/rlogin/rlogin.c 16 35 1775
./commands/mkfifo/mkfifo.o commands/mkfifo/mkfifo.c 4 10 464
./commands/elvis/elvrec.o commands/elvis/elvrec.c 2 17 199
./drivers/dpeth/8390.o drivers/dpeth/8390.c 1 7 869
./commands/pkg_install/lib/opattern.o commands/pkg_install/lib/opattern.c 3 13 213
./commands/less/less/lsystem.o commands/less/less/lsystem.c 3 35 370
./commands/less/less/main.o commands/less/less/main.c 26 47 407
./commands/de/de_diskio.o commands/de/de_diskio.c 6 10 742
./commands/pkg_install/lib/plist.o commands/pkg_install/lib/plist.c 18 47 1592
./servers/rs/utility.o servers/rs/utility.c 8 11 398
./commands/format/format.o commands/format/format.c 8 26 424
./servers/hgfs/optset.o servers/hgfs/optset.c 1 5 128
./commands/mdb/kernel.o commands/mdb/kernel.c 9 14 252
