#function_name function_calls
do_s2io_write_bits 28
is_offload 28
usb_tx_block 28
ql_mii_write_reg 28
reg_start 28
hostap_rx 28
is_genesis 28
el3_get_stats 27
i2400mu_rx 27
e1000_check_polarity 27
__refill_fl 27
free_candev 27
i596_tx_timeout 27
de_rx 27
b43_hf_write 27
el3_tx_timeout 27
next_idx 27
mwifiex_send_cmd_sync 27
get_sge_param 27
el3_close 27
hecc_read 27
b43legacy_shm_read16 27
ax_close 27
i2400m_bm_cmd 27
napi_rx_handler 27
debugfs_init 27
cxgb_down 27
tg3_full_unlock 27
el_timeout 27
atl1c_read_phy_reg 27
iwl_write_direct32 27
b44_init 27
ks_rdreg16 27
port_chk 27
el3_open 27
ai_cc_reg 27
at91_write 27
rr_priv 27
netdev_set_wol 27
ipg_nic_rx 27
t3_intr 27
clear_stats 26
e1000_clean_rx_irq 26
il_send_cmd_pdu 26
hdlc_ioctl 26
scb_command 26
il_read_targ_mem 26
buffer_offset 26
ql_set_mac_addr 26
tg3_full_lock 26
bmread 26
card_present 26
veth_open 26
write_rreg 26
boomerang_rx 26
get_prom 26
rtl8225_read 26
__t1_tpi_write 26
ath6kl_htc_tx 26
pm3386_port_reg_write 26
tg3_init 26
mpu_port 26
if_usb_prog_firmware 26
asix_write_cmd 26
hardware_init 26
get_packet 26
bnx2x_cl22_write 26
clear_interrupt 26
smctr_wait_cmd 26
CLEAR_INT 25
ks8851_rdreg 25
rtl_writephy_batch 25
rtl_eri_write 25
cas_phy_read 25
get_stat64 25
usbnet_disconnect 25
atmel_write16 25
igb_configure 25
ath9k_htc_ps_wakeup 25
b43legacy_phy_init 25
rndis_set_oid 25
mii_reset 25
va_to_pa 25
set_rts_threshold 25
ei_open 25
ixgb_clean 25
atl1c_clean 25
atmel_enter_state 25
t4_handle_intr_status 25
queue_set 25
phy_error 25
ican3_set_page 25
e1000e_write_phy_reg_mdic 25
bnx2x_hilo 24
ring_fl_db 24
bnx2x_fw_command 24
register_sja1000dev 24
get_buf_size 24
tg3_phydsp_write 24
if_usb_submit_rx_urb_fwload 24
drain_tx 24
netdev_get_wol 24
lmc_led_on 24
WRITERDP 24
cnic_ctx_wr 24
veth_close 24
inb_status 24
clear_int_events 24
brcmf_sdcard_cfg_read 24
allocate_rx_buffer 24
tile_net_open 24
iwl_get_tx_fail_reason 24
rx_bd_done 24
rxq_deinit 24
e1000_irq_disable 24
ofld_send 24
sm_to_para 24
is_eth_imm 24
hdlc_close 24
nsc_ircc_init 24
sca_set_carrier 24
e1000_shutdown 24
rs_free 24
wlapi_suspend_mac_and_wait 24
smc_tx 24
il_get_cmd_string 24
mdiobus_write 24
wlapi_enable_mac 24
if_usb_reset_device 24
tun_get 24
dump_skb 24
sca_init 24
ethoc_read 24
ipw2100_get_ordinal 23
scb_status 23
ppp_cp_event 23
alloc_can_err_skb 23
tx_tasklet 23
ath9k_hw_cfg_output 23
phy_start_aneg 23
set_params 23
ath9k_hw_disable 23
eisa_probe 23
atl1e_write_phy_reg 23
mdio_set_flag 23
wl1271_boot 23
mdiobus_read 23
emac_read_uint_prop 23
tx_poll 23
card_send_command 23
disable_MAC 23
ext_read 23
open_candev 23
eth_xmit 23
b43_ntab_read 23
